ID,Name,Latitude,Longitude,Glottocode,IPA,Alternative_Names,Shorthand,Dialect_Of
wbak,Western Bakairi,-14.163292,-55.463912,,,,wbakairi,bak
ebak,Eastern Bakairi,-14.301823,-54.625822,,,,ebakairi,bak
ing,Ingarikó,6.16277,-60.862,inga1250,,,ingariko,kap
aka,Akawaio,6.16,-60.86,akaw1239,,,akawaio,kap
pat,Patamona,4.76,-59.58,pata1262,,,patamona,kap
tab,Tabajari,9.084793,-64.317835,taba1267,,Venezuelan Carib,tabajari,kar
gkar,Guianese Carib,7.059752,-60.239822,,,,gkar,kar
aty,Aretyry,5.341971,-56.353558,mura1272,,Western Surinamese Carib; Murato,aretyry,kar
tyr,Tyrewuju,5.707015,-54.014828,tyre1237,,Eastern Surinamese Carib,tyrewuju,kar
siku,Sikiana,3.01,-57.92,siki1239,,Shikuyana; Sikiana,sikiana,kax
dek,De’kwana,,,,,,dekwana,mak
dhe,Dhe’kwana,,,,,,dhekwana,mak
kam,Kamarakoto,5.6014065,-62.71231,cama1252,,,kamara,pem
yek,Ye'kwana (dialect),4.71,-64.39,,,,yekwana,mak
tau,Taulipang,4.97031,-62.0,taul1252,,,tauli,pem
are,Arekuna,5.0,-61.4033,arec1238,,,arekuna,pem
nah,Nahukwa,-12.103217,-53.294949,nahu1343,,,nahukwa,uxc
kui,Kuikuro,-12.351506,-53.209209,,,,kuikuro,uxc
mat,Matipu,-12.23117,-53.186218,nucl1657,,,matipu,uxc
kal,Kalapalo,-12.598618,-52.923844,,,,kalapalo,uxc
yuk,Yukpa,9.67534,-73.0557,yukp1241,,,yukpa,
jap,Japreria,10.5523,-72.7101,japr1238,,,japreria,
car,Karijona,1.21894,-72.0664,cari1279,,,carijo,
map,Mapoyo,5.96952,-67.2581,mapo1246,,,mapoyo,
yab,Yawarana,5.32692,-66.276,yaba1248,,,yawarana,
pan,Panare,6.95035,-65.8483,enap1235,,E'ñapa (Woromaipu),panare,
mak,Ye'kwana,4.70705,-64.3877,maqu1238,,Maquiritari,maqui,
pem,Pemón,4.97031,-61.4033,pemo1248,,,pemon,
kap,Kapong,,,kapo1251,,,kapon,
wmr,Waimiri-Atroari,-0.61832,-60.4259,waim1253,,yawaperi; crichana?,waimiri,
mac,Macushi,4.31861,-60.2209,macu1259,,,macushi,
wai,Waiwai,1.50881,-59.1417,waiw1244,,,waiwai,
hix,Hixkaryána,-0.16265,-58.80153,hixk1239,,,hixka,
kax,Werikyana,2.17138,-55.9101,kaxu1237,,Katxuyana,kaxui,
tri,Tiriyó,2.53616,-55.7599,trio1238,,,trio,
aku,Akuriyó,3.19607,-55.6294,akur1238,,Wama,akuriyo,
apa,Apalaí,1.49792,-54.7457,apal1257,,,apalai,
way,Wayana,2.77537,-54.4429,waya1269,,,wayana,
ikp,Ikpeng,-11.37822,-53.49553,ikpe1245,,Txikão,ikpeng,
ara,Arara,-3.71263,-53.0657,para1310,,,arara,
kar,Kari'ña,5.83772,-56.8323,gali1262,,Galibi,kalina,
uxc,Upper Xingu Carib,,,nucl1656,,,uxc,
bak,Bakairi,-14.2628,-54.7034,baka1277,,,bakairi,
hian,†Hianakoto-Umawa,1.21894,-72.0664,,,,hiana,car
cha,†Chayma,9.21256,-63.1,chai1253,,,chayma,cum
cum,†Kumanagoto,10.21,-63.02,cuma1240,,,kumanagoto,cum
arin,†Arinakoto,,,,,,arina,pem
salu,†Salumá,1.75,-56.51,salu1254,,,saluma,tri
uruk,†Urukuena,2.7984202,-54.35032,,,,urukue,tri
waya,†Wayakulé,3.2176412,-53.40764,,,Triometesem,wayakule,tri
pian,†Pianakoto,,,,,,pianakoto,tri
kuma,†Kumayena,,,,,,kumayena,tri
paru,†Parukoto,1.2913186,-56.69205,,,,parukoto,wai
jawa,†Jawaperi,-0.61832,-60.4259,jawa1240,,,yawaperi,wmr
mcta,†Macoita,9.67534,-73.0557,,,,macoita,yuk
maco,†Macoa,9.67534,-73.0557,,,,macoa,yuk
chak,†Chake,9.67534,-73.0557,,,,chake,yuk
koya,†Koyaima,9.0,-76.0,,,,koyaima,
opon,†Opón-Carare,6.6993472,-73.62266,opon1234,,,opon,
guak,†Guake,1.0,-72.08,,,,guake,
pno,†Pémono,5.248,-66.082,pemo1245,,,pemono,
piri,†Píritu,9.9467688,-66.02333,,,,piritu,
tam,†Tamanaku,2.765,-65.883,tama1338,,,tamanaku,
pale,†Palenque,8.8387087,-65.49599,,,,palenque,
avar,†Avarikoto,9.21,-63.1,,,,avarikoto,
palm,†Palmela,-13.0,-62.8,palm1241,,,palmela,
pxan,†Pauxiana,1.45,-62.52,paux1236,,,pauxiana,
tive,†Tiverighotto,10.102185,-62.51541,tive1236,,,tiveri,
puru,†Purukoto,3.4489861,-61.69889,,,,purukoto,
sapa,†Sapara,3.433437,-61.58054,sapa1254,,,sapara,
yao,†Yao,10.171563,-61.43483,yaoa1239,,Yebarana,yao,
wayu,†Wayumara,3.133111,-61.21079,wayu1242,,,wayu,
juma,†Juma,-5.0,-61.0,,,,juma,
para,†Paravilhana,3.12,-60.48,para1309,,,paravi,
cric,†Crichana,-0.61832,-60.4259,,,,crichana,
bona,†Bonari,-2.0,-58.0,bona1255,,,bonari,
paux,†Pauxi,-1.690001,-55.55878,paux1235,,,pauxi,
yaru,†Yarumá,-11.6333,-52.8,yaru1255,,,yaruma,
arak,†Arakaju,-4.0,-52.0,,,,arakaju,
apia,†Apiaka-Tocantins,-6.5,-49.77173,apia1247,,,apiaka,
pime,†Pimenteira,-10.0,-42.5,pime1237,,,piment,
PC,Proto-Cariban,,,cari1283,,,PC,
PPar,Proto-Parukotoan,,,paru1239,,,PPar,
PWai,Proto-Waiwaian,,,waiw1245,,,PWai,
PPek,Proto-Pekodian,,,peko1235,,,PPek,
PXin,Proto-Xinguan,,,xing1247,,,PXin,
PPP,Proto-Pemong-Panare,,,pemo1246,,,PPP,
PPem,Proto-Pemongan,,,pemo1247,,,PPem,
PTar,Proto-Taranoan,,,tara1324,,,PTar,
PTir,Proto-Tiriyoan,,,tiri1260,,,PTir,
PMan,Proto-Manapiarean,,,mapo1245,,,PMan,
PVen,Proto-Venezuelan,,,vene1261,,,PVen,
PCum,Proto-Cumana,,,coas1302,,,PCum,
PYuk,Proto-Yukpan,,,yukp1243,,,PYuk,
